age,years_experience,education_level,salary,bonus,stock_options,performance_rating,projects_completed,client_satisfaction,hours_per_week,meetings_per_week,emails_per_day,bmi,blood_pressure_systolic,blood_pressure_diastolic,resting_heart_rate,technical_skills,soft_skills,certifications,vacation_days_used,sick_days_used,remote_work_days
33,4.4,3,58550,3250,10208,4.22,16,4.18,39.0,13,23,25.1,102,76,70,4.8,6.9,3,15,4,2
36,13.6,4,83453,2349,10891,4.11,12,4.11,35.5,12,10,20.3,97,70,83,6.7,5.5,0,13,2,0
24,2.4,2,45632,3458,10178,3.06,16,4.0,44.9,10,20,22.6,115,84,74,7.2,9.1,1,20,4,3
31,10.3,2,88324,4010,13998,3.06,17,4.4,38.8,11,41,19.8,112,69,76,8.6,8.6,6,13,1,2
36,16.8,3,50282,4901,10345,3.76,3,4.5,40.5,11,20,23.7,128,74,75,5.2,6.6,2,4,3,2
26,4.0,1,46427,3709,13844,3.49,9,3.94,42.8,7,24,25.2,114,80,65,4.9,7.6,0,16,5,3
38,5.7,2,52630,1799,6098,4.03,10,4.21,40.2,8,16,20.7,123,98,67,7.3,9.1,1,15,5,2
30,8.4,5,94269,1971,18904,3.74,22,4.59,40.2,4,30,29.9,128,75,75,6.5,6.8,7,11,4,3
33,6.0,2,64399,6359,11262,4.29,13,4.41,45.2,8,26,24.8,113,76,79,8.9,7.0,2,15,2,1
30,1.8,2,72942,4754,12001,3.99,15,4.45,40.8,12,19,24.2,123,86,81,8.0,7.9,5,10,0,4
50,8.3,1,62242,6298,6077,3.86,4,4.61,44.3,6,15,26.3,130,70,65,8.1,6.8,3,17,1,1
35,3.8,4,63649,6561,12359,3.32,13,4.61,42.7,11,36,21.5,108,84,75,6.8,8.8,2,25,2,0
26,9.9,2,57412,5302,13255,3.29,16,4.51,50.1,8,12,24.5,120,90,81,10.0,7.2,4,6,2,2
42,4.3,3,65761,2537,4151,3.47,15,4.24,42.0,4,29,21.8,113,78,64,5.3,6.3,0,12,3,1
25,14.2,4,72419,5379,1705,4.42,14,4.09,43.2,5,8,28.7,108,88,84,8.2,8.4,1,12,2,1
37,4.9,5,90175,7799,11468,3.3,12,4.23,45.5,11,31,20.8,105,82,85,4.5,5.8,2,13,3,2
22,6.7,1,40000,4105,7556,3.63,12,4.04,40.3,10,33,24.2,108,74,90,4.9,10.0,1,20,5,4
24,11.3,5,89162,5681,11300,2.38,5,3.61,36.8,8,34,25.0,121,78,74,5.8,9.9,2,18,2,2
37,3.1,4,72919,4972,3545,3.84,8,4.12,37.6,7,24,25.2,104,77,74,10.0,8.3,4,19,0,1
41,8.9,4,59484,7745,2197,4.63,13,4.31,37.7,9,38,22.3,114,79,79,7.5,8.1,3,15,2,0
36,13.2,4,56784,3644,11033,3.03,9,4.02,35.2,11,43,21.3,128,81,78,5.8,8.1,5,8,4,1
34,1.6,5,80655,7307,8251,5.0,15,4.14,41.6,12,22,22.3,124,85,81,7.7,6.8,3,9,4,0
33,8.7,4,68435,4250,0,3.59,14,4.15,36.9,13,21,25.6,115,84,78,7.1,7.9,4,19,4,1
23,9.0,5,41989,3612,16715,2.21,17,4.61,41.0,9,26,23.6,137,61,71,6.0,6.1,3,16,6,4
29,11.1,4,70446,5220,3462,3.31,16,4.09,39.2,7,21,26.4,139,79,82,4.2,8.3,2,21,3,1
31,3.1,3,82166,5685,22867,4.17,13,4.61,39.8,8,20,25.4,120,68,63,9.9,8.8,5,16,7,3
44,2.7,4,77868,8823,6880,4.5,15,3.39,42.8,10,21,18.5,95,78,72,7.4,6.9,2,9,5,0
38,10.1,5,55597,5639,12008,3.86,16,4.6,37.3,10,39,24.7,129,79,85,10.0,6.6,4,12,0,5
22,9.2,2,44870,5387,18235,4.28,10,4.59,43.2,12,31,29.9,97,88,62,8.9,5.7,4,18,7,5
38,9.0,4,60110,8192,17397,2.91,11,4.47,47.8,14,21,28.0,135,80,67,8.1,9.7,4,19,1,3
32,9.4,2,113810,6202,19931,3.16,12,3.6,41.7,7,5,25.3,131,82,77,6.1,6.7,1,19,1,5
30,5.3,3,41825,3711,2385,2.66,10,4.51,36.1,14,13,20.8,138,86,75,4.8,7.2,5,10,4,3
40,8.9,1,52359,7712,4321,3.2,16,4.18,36.9,12,29,25.4,123,90,65,6.6,8.0,2,9,0,3
43,9.2,3,70881,3521,11130,3.88,9,3.44,38.8,8,8,26.2,116,79,69,4.8,7.9,4,14,2,4
42,5.1,4,63132,3702,14199,3.61,17,4.59,37.0,12,27,23.2,115,81,63,8.3,8.6,4,22,6,2
28,15.5,2,61997,3303,9944,3.93,11,4.63,35.0,13,16,25.0,115,80,80,10.0,6.9,4,12,4,0
32,9.9,2,95371,3128,1810,3.03,14,3.63,40.8,7,26,28.5,130,76,70,6.5,5.8,1,17,5,3
38,3.2,5,52201,5666,12483,3.06,13,4.25,38.9,13,26,21.4,127,74,86,8.9,5.5,4,17,2,1
43,10.6,2,64786,4484,9029,3.6,8,4.62,40.9,11,26,20.8,121,62,73,5.6,6.6,5,19,0,1
31,4.1,5,68029,0,8969,3.2,12,4.57,45.9,15,22,26.1,113,71,70,6.4,6.1,3,23,4,2
34,11.1,1,52929,4463,0,4.15,13,4.45,38.8,7,22,25.4,140,66,69,5.4,7.0,2,23,5,3
26,12.6,4,43390,3964,13987,3.19,12,3.41,34.1,7,19,27.1,129,90,70,2.7,9.5,4,12,5,2
25,4.7,5,69040,6786,10726,3.25,7,4.42,38.0,2,29,25.7,104,82,73,6.9,6.9,3,5,3,3
42,11.9,1,92205,3873,18976,3.71,19,4.13,43.9,10,31,22.3,115,79,90,7.3,6.9,0,12,1,1
46,9.7,2,71069,10079,9627,3.31,12,4.5,43.4,9,15,25.3,129,74,69,9.1,7.5,2,15,8,2
34,11.3,2,66351,7794,12832,2.88,9,4.28,42.6,6,25,20.6,112,80,70,8.6,6.9,2,13,4,3
43,15.6,1,66241,4220,14159,2.95,18,4.19,36.9,8,27,23.2,124,73,73,8.6,7.4,5,25,3,5
38,7.0,2,61124,7299,1269,3.77,14,4.39,43.8,4,26,25.5,130,81,81,5.1,8.3,5,15,3,5
30,5.0,1,82752,6050,23083,2.82,7,4.15,44.9,12,26,22.9,90,82,61,7.9,8.8,5,18,3,3
38,4.4,5,57418,5467,7846,4.2,8,4.19,36.5,7,22,29.9,119,73,76,10.0,9.0,3,16,5,3
47,4.7,5,44648,6605,12473,3.15,11,4.03,39.8,15,27,18.5,119,73,65,7.8,10.0,4,13,3,5
35,7.7,1,41275,5108,13203,3.81,13,3.72,50.1,7,30,22.4,116,88,76,10.0,8.4,1,5,5,1
48,9.4,5,66185,5481,5926,3.18,14,4.37,36.3,6,26,21.2,123,80,68,10.0,10.0,3,15,3,3
22,9.1,5,80910,6647,19235,3.04,16,3.96,31.5,7,29,21.9,127,74,55,6.5,6.3,4,25,3,3
42,11.3,5,68562,9105,11330,3.62,14,4.14,46.9,4,33,22.1,121,77,75,5.6,10.0,1,9,4,4
36,8.1,3,60239,5502,8933,4.03,17,4.29,45.7,9,10,20.0,116,72,75,5.5,6.9,3,6,4,0
33,13.8,4,71877,4092,10693,3.38,13,3.57,37.7,7,33,26.3,126,79,67,4.0,7.1,6,25,3,1
36,6.9,2,67793,942,13821,3.47,9,3.64,39.4,11,28,22.4,120,87,67,6.0,7.3,4,19,2,2
22,18.9,3,77393,8923,10054,3.9,12,4.11,33.9,7,16,24.5,118,80,62,9.4,7.2,4,16,4,3
33,10.5,5,84898,4474,14410,3.92,12,4.34,40.4,12,31,22.7,107,99,78,2.6,7.6,0,22,3,4
38,4.6,1,50684,6070,1576,3.48,2,4.42,45.8,10,22,21.9,104,83,79,4.9,6.6,5,11,2,3
47,3.7,5,40000,8812,6260,3.28,10,3.72,37.3,8,23,29.0,107,82,65,6.7,8.7,3,14,1,2
31,9.9,4,59727,5455,0,3.54,13,4.39,44.4,13,21,26.8,123,73,68,5.2,6.7,2,20,4,3
28,7.1,5,49710,4611,19985,3.4,10,4.13,42.3,11,27,18.5,119,78,71,5.9,8.5,3,25,4,2
31,10.9,1,77479,7839,19920,3.66,9,3.94,42.9,15,19,18.5,105,74,90,6.0,9.8,1,9,2,5
42,9.9,4,54135,5921,13133,2.9,16,4.01,37.6,7,32,27.1,126,63,76,6.5,7.0,5,21,2,2
38,7.7,5,40000,6172,4937,3.64,8,4.44,38.2,8,24,22.4,134,88,64,5.5,8.7,2,17,1,1
31,4.6,4,56387,1954,21949,3.14,15,4.28,30.8,13,22,19.1,114,76,74,5.4,8.3,2,16,4,3
39,1.9,2,42620,7412,6978,3.95,7,4.22,37.2,3,31,27.1,103,74,61,8.9,10.0,3,15,1,2
36,6.2,2,88852,5751,8934,3.16,23,4.27,45.8,12,22,24.5,113,82,78,9.1,6.7,5,8,7,0
43,11.4,5,72075,2257,10798,3.17,11,4.48,35.4,9,33,24.8,129,84,85,4.2,8.7,3,20,2,2
29,8.9,4,74713,5970,12258,3.72,11,4.17,36.1,5,33,26.4,125,77,85,1.5,5.1,1,11,0,2
32,3.0,1,73040,875,13219,3.51,17,4.22,43.2,4,14,20.1,111,80,78,9.1,6.8,4,10,3,1
32,8.7,5,77603,9684,13420,4.64,10,4.54,42.0,6,34,19.1,135,86,67,4.5,8.0,2,19,3,4
23,9.5,2,82000,2796,9277,2.69,18,4.1,43.4,1,13,28.7,133,77,62,7.4,9.6,0,19,5,1
37,4.5,2,56904,8224,13341,3.55,13,4.39,34.2,7,34,19.7,113,82,61,3.9,5.7,5,15,4,3
37,8.6,5,43701,3374,9054,4.06,12,4.05,52.8,10,41,20.3,113,67,55,9.6,8.7,4,20,1,2
35,8.2,4,52296,6120,12897,3.21,11,4.08,33.9,7,32,20.9,114,70,78,10.0,7.4,3,22,2,2
33,3.4,2,64321,3176,12486,3.04,17,4.17,40.8,12,8,29.9,115,85,71,7.4,5.2,2,22,4,3
